# Población por localidad de Bogotá, año 2018.
#
# Derivado de «Proyecciones y retroproyecciones de Población (2005 - 2035)»,
# Secretaría Distrital de Planeación con el DANE, CC BY 4.0.
# https://datosabiertos.bogota.gov.co/dataset/proyecciones-y-retroproyecciones-de-poblacion-2005-2035
#
# El total de cada localidad es la suma de todas las columnas Hombres_* y
# Mujeres_*, sumando las dos áreas de la fuente: cabecera municipal y centro
# poblado y rural disperso.
#
# El año es 2018 a propósito, para que coincida con el censo que usan los
# municipios: comparar reportes por habitante entre zonas exige el mismo
# denominador. Regenerar con:
#   node scripts/derivar-poblacion-bogota.mjs <archivo.ods> [anio]
codigo,nombre,poblacion
01,Usaquén,535693
02,Chapinero,156479
03,Santa Fe,103985
04,San Cristóbal,385514
05,Usme,363394
06,Tunjuelito,171632
07,Bosa,694397
08,Kennedy,1019748
09,Fontibón,365884
10,Engativá,792518
11,Suba,1152387
12,Barrios Unidos,133126
13,Teusaquillo,144526
14,Los Mártires,73277
15,Antonio Nariño,79229
16,Puente Aranda,242905
17,La Candelaria,17075
18,Rafael Uribe Uribe,364532
19,Ciudad Bolivar,613127
20,Sumapaz,3138
