# Población por UPZ de Bogotá, año 2018.
#
# Derivado de «Proyecciones y retroproyecciones de Población (2005 - 2035)»,
# Secretaría Distrital de Planeación con el DANE, CC BY 4.0.
# https://datosabiertos.bogota.gov.co/dataset/proyecciones-y-retroproyecciones-de-poblacion-2005-2035
#
# El total de cada UPZ es la suma de todas las columnas Hombres_* y
# Mujeres_*, sumando las dos áreas de la fuente: cabecera municipal y centro
# poblado y rural disperso.
#
# El año es 2018 a propósito, para que coincida con el censo que usan los
# municipios: comparar reportes por habitante entre zonas exige el mismo
# denominador. Regenerar con:
#   node scripts/derivar-poblacion-bogota.mjs <archivo.ods> [anio]
codigo,nombre,poblacion
001,PASEO DE LOS LIBERTADORES,2567
002,LA ACADEMIA,4077
003,GUAYMARAL,2048
009,VERBENAL,119080
010,LA URIBE,31194
011,SAN CRISTOBAL NORTE,68168
012,TOBERIN,58835
013,LOS CEDROS,123293
014,USAQUEN,39868
015,COUNTRY CLUB,24440
016,SANTA BARBARA,67760
017,SAN JOSE DE BAVARIA,47245
018,BRITALIA,82735
019,EL PRADO,96752
020,LA ALHAMBRA,39506
021,LOS ANDES,27253
022,DOCE DE OCTUBRE,64814
023,CASA BLANCA SUBA,52913
024,NIZA,76588
025,LA FLORESTA,40557
026,LAS FERIAS,99530
027,SUBA,166333
028,EL RINCON,266238
029,MINUTO DE DIOS,109581
030,BOYACA REAL,125315
031,SANTA CECILIA,65800
032,SAN BLAS,97856
033,SOSIEGO,42167
034,20 DE JULIO,78361
035,CIUDAD JARDIN,24983
036,SAN JOSE,46555
037,SANTA ISABEL,38204
038,RESTREPO,54246
039,QUIROGA,88243
040,CIUDAD MONTES,98166
041,MUZU,56895
042,VENECIA,131951
043,SAN RAFAEL,71167
044,AMERICAS,79652
045,CARVAJAL,90556
046,CASTILLA,138657
047,KENNEDY CENTRAL,94686
048,TIMIZA,141531
049,APOGEO,36791
050,LA GLORIA,93229
051,LOS LIBERTADORES,73845
052,LA FLORA,18178
053,MARCO FIDEL SUAREZ,46417
054,MARRUECOS,111476
055,DIANA TURBAY,71841
056,DANUBIO,50027
057,GRAN YOMASA,123476
058,COMUNEROS,91633
059,ALFONSO LOPEZ,48496
060,PARQUE ENTRENUBES,1014
061,CIUDAD USME,22637
062,TUNJUELITO,39681
063,EL MOCHUELO,36
064,MONTE BLANCO,5331
065,ARBORIZADORA,77129
066,SAN FRANCISCO,68147
067,LUCERO,153854
068,EL TESORO,49741
069,ISMAEL PERDOMO,155423
070,JERUSALEM,95007
071,TIBABUYES,274048
072,BOLIVIA,81481
073,GARCES NAVAS,160612
074,ENGATIVA,135897
075,FONTIBON,129959
076,FONTIBON SAN PABLO,32717
077,ZONA FRANCA,56771
078,TINTAL NORTE,27577
079,CALANDAIMA,120204
080,CORABASTOS,57028
081,GRAN BRITALIA,63264
082,PATIO BONITO,140235
083,LAS MARGARITAS,28531
084,BOSA OCCIDENTAL,195836
085,BOSA CENTRAL,233322
086,EL PORVENIR,131429
087,TINTAL SUR,97019
088,EL REFUGIO,36695
089,SAN ISIDRO - PATIOS,15231
090,PARDO RUBIO,46307
091,SAGRADO CORAZON,10027
092,LA MACARENA,12041
093,LAS NIEVES,16323
094,LA CANDELARIA,17075
095,LAS CRUCES,20406
096,LOURDES,44303
097,CHICO LAGO,33942
098,LOS ALCAZARES,39720
099,CHAPINERO,23444
100,GALERIAS,33749
101,TEUSAQUILLO,25536
102,LA SABANA,35073
103,PARQUE SALITRE,1339
104,PARQUE SIMON BOLIVAR - CAN,2937
105,JARDIN BOTANICO,2482
106,LA ESMERALDA,35620
107,QUINTA PAREDES,25448
108,ZONA INDUSTRIAL,5977
109,CIUDAD SALITRE ORIENTAL,21236
110,CIUDAD SALITRE OCCIDENTAL,42871
111,PUENTE ARANDA,10700
112,GRANJAS DE TECHO,43620
113,BAVARIA,37827
114,MODELIA,42000
115,CAPELLANIA,17190
116,ALAMOS,11820
117,AEROPUERTO EL DORADO,756
